entries,broad,narrow
female,female,female
male,male,male
androgynous,androgynous,other
non-binary,non-binary,other
nonbinary,non-binary,other
non binary,non-binary,other
trans,transgender,other
trans man,transgender male,male
trans woman,transgender female,female
transman,transgender male,male
transwoman,transgender female,female
transgender man,transgender male,male
transgenderman,transgender male,male
transgender male,transgender male,male
transgendermale,transgender male,male
transgender woman,transgender female,female
transgender female,transgender female,female
transgenderwoman,transgender female,female
transgenderfemale,transgender female,female
cis woman,female,female
cis man,male,male
ciswoman,female,female
cisman,male,male
cisfemale,female,female
cismale,male,male
girl,female,female
boy,male,male
intersex,intersex,other
m2f,transgender female,female
f2m,transgender male,male
mtf,transgender female,female
ftm,transgender male,male
m,male,male
f,female,female
w,female,female
man,male,male
woman,female,female
cis female,female,female
famela,female,female
cis male,male,male
fem,female,female
femaiil,female,female
femaile,female,female
female (cisgender),female,female
femalep,female,female
feminine,female,female
g,female,female
maill,male,male
malae,male,male
man,male,male
nb,non-binary,other
enby,non-binary,other
Male (cisgender),male,male
agender,agender,other
genderqueer,genderqueer,other
gender queer,genderqueer,other